Block,Trend_m_per_yr,R_squared,P_value,MK_trend,MK_p,Mean_WL,N_obs,Total_Years,WL_Trend_m_yr,Total_dh_m,Subsidence_Rate_mm_yr,Total_Subsidence_mm,Direction
Bahragora,-0.004574715574767636,0.00017029140132978558,0.8913784267336805,no trend,0.9178852048677142,6.160342261904761,112,30.4,-0.0046,-0.14,0.0046,0.14,Rising
Chakulia,-0.15064519675322427,0.07003443228409122,0.005876419653476801,decreasing,0.011295244002405891,11.897624610591901,107,30.4,-0.1506,-4.57,0.1506,4.57,Rising
Dhalbhumgarh,0.03435934528547476,0.007970518818464705,0.3536615524911534,no trend,0.25672587034726035,6.682818181818181,110,30.4,0.0344,1.04,0.0344,1.04,Deepening
Ghatshila,-0.007513385940475054,5.876231867040441e-05,0.9569870656168716,no trend,0.6132105031724397,5.164038461538461,52,17.0,-0.0075,-0.13,0.0075,0.13,Rising
Golmuri Cum Jugsalai,-0.07811962775012833,0.05315084937959094,0.01587435787697198,decreasing,0.008556475220318438,5.859475739347299,109,30.4,-0.0781,-2.37,0.0781,2.37,Rising
Musabani,-0.015564727824382967,0.004532215609557102,0.568737924038357,no trend,0.5719891006666664,2.37290990990991,74,24.8,-0.0156,-0.39,0.0156,0.39,Rising
Potka,-0.019934688862960303,0.0066092562442611365,0.40069761313359764,no trend,0.48280942425398665,4.2706529051987765,109,30.4,-0.0199,-0.61,0.0199,0.61,Rising
